player_id,player_name,WINGSPAN,CSFGA,CS3PA,AVGDIST,SIXTto3PTr
2544,LeBron James,,3.2,2.9,12.95,0.3102
101108,Chris Paul,,1.7,1.6,20.73,0.6329
200768,Kyle Lowry,,1.8,1.8,21.97,0.735
200782,P.J. Tucker,,1.7,1.7,23.29,0.8571
201142,Kevin Durant,,5.7,4.8,14.96,0.331
201143,Al Horford,,5.3,5.1,18.47,0.679
201144,Mike Conley,,2.3,2.3,18.87,0.6603
201145,Jeff Green,,2.2,2.2,18.03,0.6529
201566,Russell Westbrook,,2.9,2.8,11.83,0.349
201567,Kevin Love,,2.6,2.4,16.83,0.5739
201569,Eric Gordon,,3.2,3.2,19.38,0.6618
201572,Brook Lopez,,5.1,4.5,15.55,0.4819
201587,Nicolas Batum,,2.6,2.5,21.65,0.8529
201599,DeAndre Jordan,,0.0,,1.92,0.0
201935,James Harden,,1.5,1.5,16.81,0.5158
201939,Stephen Curry,,5.3,5.1,19.47,0.6184
201942,DeMar DeRozan,,3.5,2.4,14.84,0.1911
201949,James Johnson,,0.3,0.3,14.09,0.2727
201950,Jrue Holiday,,3.2,3.2,15.66,0.534
201959,Taj Gibson,,0.5,0.1,4.67,0.0211
201988,Patty Mills,,1.8,1.8,23.85,0.9
202066,Garrett Temple,,0.9,0.8,14.8,0.4667
202331,Paul George,,3.7,3.3,17.49,0.4684
202681,Kyrie Irving,,3.1,2.9,14.39,0.3788
202684,Tristan Thompson,,0.1,0.1,5.31,0.0423
202685,Jonas Valančiūnas,,1.6,0.4,6.43,0.0488
202687,Bismack Biyombo,,0.1,,3.99,0.0
202691,Klay Thompson,,6.2,5.7,19.59,0.6306
202692,Alec Burks,,3.4,3.4,20.29,0.7601
202693,Markieff Morris,,2.3,2.1,16.6,0.4792
202695,Kawhi Leonard,,3.4,3.0,13.93,0.305
202696,Nikola Vučević,,5.8,4.4,12.03,0.3083
202699,Tobias Harris,,3.3,3.2,12.61,0.328
202704,Reggie Jackson,,1.9,1.8,,
202709,Cory Joseph,,1.8,1.8,19.88,0.6883
202710,Jimmy Butler III,,1.6,1.3,9.38,0.2006
203076,Anthony Davis,,3.6,1.9,11.53,0.1974
203078,Bradley Beal,,3.8,3.5,14.67,0.3804
203081,Damian Lillard,,3.6,3.5,17.96,0.5242
203083,Andre Drummond,,0.6,0.5,4.91,0.0769
203084,Harrison Barnes,,3.8,3.8,14.3,0.5242
203109,Jae Crowder,,1.7,1.6,20.14,0.6818
203110,Draymond Green,,3.7,3.4,14.4,0.4813
203114,Khris Middleton,,1.9,1.7,16.37,0.3651
203458,Alex Len,,0.3,0.2,7.0,0.1364
203468,CJ McCollum,,4.3,4.1,15.63,0.459
203471,Dennis Schröder,,3.3,3.2,15.5,0.4143
203482,Kelly Olynyk,,1.8,1.5,10.01,0.24
203484,Kentavious Caldwell-Pope,,3.6,3.4,18.82,0.6066
203486,Mason Plumlee,,0.1,0.0,3.42,0.0149
203497,Rudy Gobert,,0.2,,1.93,0.0
203500,Steven Adams,,0.2,0.0,3.75,0.0
203501,Tim Hardaway Jr.,,5.0,4.9,19.67,0.6721
203507,Giannis Antetokounmpo,,0.4,0.3,6.57,0.047
203552,Seth Curry,,2.1,2.0,18.29,0.5306
203897,Zach LaVine,,2.9,2.8,15.81,0.4503
203901,Elfrid Payton,,0.1,0.1,8.35,0.0594
203903,Jordan Clarkson,,3.4,3.1,16.14,0.4625
203914,Gary Harris,,2.0,1.9,20.18,0.7594
203915,Spencer Dinwiddie,,1.8,1.7,15.43,0.478
203924,Jerami Grant,,6.1,6.0,15.52,0.5139
203926,Doug McDermott,,2.2,2.2,22.76,0.8632
203932,Aaron Gordon,,2.6,2.3,11.34,0.3441
203935,Marcus Smart,,3.2,3.1,16.06,0.4587
203937,Kyle Anderson,,1.1,0.9,8.18,0.1269
203939,Dwight Powell,,0.1,0.1,3.46,0.082
203944,Julius Randle,,3.3,3.2,11.93,0.3333
203952,Andrew Wiggins,,4.1,4.0,13.86,0.3984
203954,Joel Embiid,,4.8,3.3,13.03,0.2444
203957,Danté Exum,,2.1,2.1,12.84,0.3881
203967,Dario Šarić,,1.8,1.5,13.62,0.4483
203991,Clint Capela,,0.1,0.0,2.63,0.0026
203992,Bogdan Bogdanović,,4.0,3.8,17.86,0.5299
203994,Jusuf Nurkić,,2.0,1.8,9.33,0.2381
203995,Vasilije Micić,,1.1,1.1,,
203999,Nikola Jokić,,4.1,3.3,11.05,0.2265
204001,Kristaps Porziņģis,,6.0,5.6,15.51,0.4355
204060,Joe Ingles,,0.4,0.4,18.87,0.6522
204456,T.J. McConnell,,0.6,0.4,8.63,0.0769
1626143,Jahlil Okafor,,0.0,,,
1626145,Tyus Jones,,4.2,4.1,17.83,0.5871
1626153,Delon Wright,,1.4,1.4,13.43,0.4898
1626156,D'Angelo Russell,,3.3,3.2,18.53,0.5841
1626157,Karl-Anthony Towns,,4.3,3.9,10.32,0.2782
1626158,Richaun Holmes,,0.3,0.1,3.12,0.0216
1626162,Kelly Oubre Jr.,,3.3,3.3,10.84,0.3266
1626164,Devin Booker,,3.9,3.3,,
1626166,Cameron Payne,,1.8,1.8,,
1626167,Myles Turner,,6.1,4.9,,
1626168,Trey Lyles,,3.4,3.2,,
1626171,Bobby Portis,,4.6,3.4,,
1626172,Kevon Looney,,0.4,0.1,,
1626179,Terry Rozier,,2.6,2.6,,
1626181,Norman Powell,,4.2,4.0,,
1626192,Pat Connaughton,,1.5,1.5,,
1626196,Josh Richardson,,3.1,2.6,,
1626204,Larry Nance Jr.,,3.3,3.1,,
1626220,Royce O'Neale,,5.2,5.1,,
1627732,Ben Simmons,,0.1,,,
1627734,Domantas Sabonis,,2.9,2.2,,
1627736,Malik Beasley,,6.9,6.9,,
1627739,Kris Dunn,,2.8,2.8,,
1627741,Buddy Hield,,4.8,4.7,,
1627742,Brandon Ingram,,4.3,3.9,,
1627746,Skal Labissiere,,0.3,0.3,,
1627747,Caris LeVert,,3.0,2.9,,
1627749,Dejounte Murray,,3.0,2.9,,
1627750,Jamal Murray,,2.8,2.7,,
1627751,Jakob Poeltl,,1.9,0.0,,
1627752,Taurean Prince,,3.4,3.3,,
1627759,Jaylen Brown,,3.1,2.9,,
1627763,Malcolm Brogdon,,1.5,1.5,,
1627777,Georges Niang,,4.9,4.9,,
1627780,Gary Payton II,,1.5,1.5,,
1627783,Pascal Siakam,,4.3,3.8,,
1627814,Damion Lee,,1.3,1.2,,
1627824,Guerschon Yabusele,,3.8,3.7,,
1627826,Ivica Zubac,,0.9,,,
1627827,Dorian Finney-Smith,,4.8,4.8,,
1627832,Fred VanVleet,,3.7,3.6,,
1627884,Derrick Jones Jr.,,2.7,2.7,,
1627936,Alex Caruso,,2.8,2.7,,
1628365,Markelle Fultz,,0.4,0.3,,
1628366,Lonzo Ball,,4.4,4.3,,
1628368,De'Aaron Fox,,3.2,3.1,,
1628369,Jayson Tatum,,3.0,2.7,,
1628370,Malik Monk,,3.9,3.8,,
1628371,Jonathan Isaac,,2.4,2.0,,
1628374,Lauri Markkanen,,8.0,7.8,,
1628378,Donovan Mitchell,,3.6,3.4,,
1628379,Luke Kennard,,3.2,3.0,,
1628380,Zach Collins,,1.9,1.6,,
1628381,John Collins,,3.8,3.5,,
1628384,OG Anunoby,,5.1,5.0,,
1628386,Jarrett Allen,,0.5,0.0,,
1628389,Bam Adebayo,,3.9,2.2,,
1628392,Isaiah Hartenstein,,2.5,0.3,,
1628396,Tony Bradley,,0.3,0.2,,
1628398,Kyle Kuzma,,3.6,3.4,,
1628401,Derrick White,,6.1,6.0,,
1628404,Josh Hart,,2.5,2.3,,
1628408,PJ Dozier,,0.3,0.3,,
1628415,Dillon Brooks,,5.3,5.1,,
1628418,Thomas Bryant,,2.3,2.1,,
1628420,Monté Morris,,1.6,1.6,,
1628427,Vlatko Čančar,,1.2,1.2,,
1628436,Luke Kornet,,0.1,0.0,,
1628449,Chris Boucher,,3.6,3.5,,
1628464,Daniel Theis,,1.3,0.9,,
1628467,Maxi Kleber,,1.4,1.4,,
1628470,Torrey Craig,,2.2,2.2,,
1628960,Grayson Allen,,4.5,4.5,,
1628963,Marvin Bagley III,,0.8,0.6,,
1628964,Mo Bamba,,1.8,1.7,,
1628969,Mikal Bridges,,5.4,4.9,,
1628970,Miles Bridges,,4.0,3.9,,
1628971,Bruce Brown,,2.2,1.8,,
1628973,Jalen Brunson,,1.9,1.9,,
1628975,Jevon Carter,,1.5,1.4,,
1628976,Wendell Carter Jr.,,3.0,2.3,,
1628978,Donte DiVincenzo,,5.0,5.0,,
1628981,Bruno Fernando,,0.3,,,
1628983,Shai Gilgeous-Alexander,,1.3,1.0,,
1628988,Aaron Holiday,,2.2,2.2,,
1628989,Kevin Huerter,,4.4,4.3,,
1628991,Jaren Jackson Jr.,,4.6,4.4,,
1628995,Kevin Knox II,,1.0,1.0,,
1628997,Caleb Martin,,2.3,1.8,,
1628998,Cody Martin,,2.5,2.3,,
1629001,De'Anthony Melton,,4.2,4.2,,
1629003,Shake Milton,,1.4,1.4,,
1629004,Svi Mykhailiuk,,2.6,2.6,,
1629006,Josh Okogie,,2.1,2.0,,
1629008,Michael Porter Jr.,,4.9,4.6,,
1629011,Mitchell Robinson,,0.0,,,
1629012,Collin Sexton,,2.1,2.0,,
1629013,Landry Shamet,,2.4,2.3,,
1629014,Anfernee Simons,,4.4,4.3,,
1629018,Gary Trent Jr.,,4.5,4.4,,
1629020,Jarred Vanderbilt,,0.9,0.9,,
1629021,Moritz Wagner,,2.5,2.5,,
1629022,Lonnie Walker IV,,4.3,4.2,,
1629023,P.J. Washington,,3.2,3.1,,
1629026,Kenrich Williams,,2.2,2.2,,
1629027,Trae Young,,1.6,1.4,,
1629028,Deandre Ayton,,3.7,0.8,,
1629029,Luka Dončić,,2.6,2.4,16.69,0.4506
1629048,Goga Bitadze,,0.5,0.4,,
1629052,Oshae Brissett,,2.7,2.7,,
1629056,Terence Davis,,1.0,1.0,,
1629057,Robert Williams III,,0.3,0.2,,
1629060,Rui Hachimura,,4.4,4.1,,
1629098,Jack McVeigh,,1.2,1.2,,
1629111,Jock Landale,,1.1,0.5,,
1629130,Duncan Robinson,,4.1,4.1,,
1629162,Jordan McLaughlin,,0.6,0.6,,
1629216,Gabe Vincent,,3.3,3.2,,
1629234,Drew Eubanks,,0.2,0.1,,
1629312,Haywood Highsmith,,3.1,3.0,,
1629599,Amir Coffey,,3.1,3.0,,
1629610,DaQuan Jeffries,,3.2,3.1,,
1629611,Terance Mann,,1.7,1.6,,
1629614,Andrew Nembhard,,2.4,2.0,,
1629618,Jalen Pickett,,1.7,1.6,,
1629622,Max Strus,,4.9,4.9,,
1629626,Bol Bol,,2.3,2.0,,
1629627,Zion Williamson,,0.2,0.2,,
1629628,RJ Barrett,,4.7,4.7,,
1629629,Cam Reddish,,1.4,1.3,,
1629630,Ja Morant,,2.6,2.6,,
1629631,De'Andre Hunter,,4.9,4.7,,
1629632,Coby White,,4.5,4.5,,
1629634,Brandon Clarke,,0.7,0.3,,
1629636,Darius Garland,,3.2,3.1,,
1629637,Jaxson Hayes,,0.1,0.1,,
1629638,Nickeil Alexander-Walker,,3.7,3.6,,
1629639,Tyler Herro,,4.6,4.4,,
1629640,Keldon Johnson,,3.0,3.0,,
1629643,Chuma Okeke,,2.7,2.7,,
1629645,Kevin Porter Jr.,,0.9,0.9,,
1629646,Charles Bassey,,0.3,,,
1629650,Moses Brown,,0.2,,,
1629651,Nic Claxton,,1.0,0.3,,
1629652,Luguentz Dort,,5.1,5.0,,
1629655,Daniel Gafford,,0.1,,,
1629656,Quentin Grimes,,3.4,3.3,,
1629659,Talen Horton-Tucker,,1.6,1.6,,
1629660,Ty Jerome,,1.7,1.7,,
1629661,Cameron Johnson,,5.2,5.1,,
1629667,Jalen McDaniels,,0.0,,,
1629669,Jaylen Nowell,,2.6,2.5,,
1629673,Jordan Poole,,4.2,4.1,,
1629674,Neemias Queta,,0.2,0.0,,
1629675,Naz Reid,,4.8,4.7,,
1629680,Matisse Thybulle,,2.9,2.8,,
1629684,Grant Williams,,3.8,3.6,,
1629723,John Konchar,,1.3,1.3,,
1629726,Garrison Mathews,,4.0,3.9,,
1629731,Dean Wade,,3.6,3.6,,
1629750,Javonte Green,,2.0,2.0,,
1630162,Anthony Edwards,,2.7,2.6,,
1630163,LaMelo Ball,,4.7,4.6,,
1630164,James Wiseman,,3.0,1.0,,
1630165,Killian Hayes,,2.8,2.7,,
1630166,Deni Avdija,,3.8,3.7,,
1630167,Obi Toppin,,3.3,3.3,,
1630168,Onyeka Okongwu,,2.1,2.0,,
1630169,Tyrese Haliburton,,2.0,2.0,,
1630170,Devin Vassell,,5.3,5.0,,
1630171,Isaac Okoro,,2.5,2.5,,
1630172,Patrick Williams,,3.1,3.1,,
1630173,Precious Achiuwa,84.75,0.8,0.6,,
1630174,Aaron Nesmith,,3.6,3.6,,
1630175,Cole Anthony,,2.3,2.3,,
1630178,Tyrese Maxey,,3.1,3.1,,
1630182,Josh Green,81.75,3.5,3.4,,
1630183,Jaden McDaniels,,3.3,3.2,,
1630188,Jalen Smith,86.25,3.4,3.3,,
1630191,Isaiah Stewart,88.75,0.8,0.7,,
1630192,Zeke Nnaji,86.0,1.0,0.9,,
1630193,Immanuel Quickley,80.25,3.7,3.5,,
1630194,Paul Reed,86.0,1.1,0.5,,
1630198,Isaiah Joe,79.5,4.7,4.6,,
1630200,Tre Jones,,1.0,0.9,,
1630201,Malachi Flynn,,1.0,1.0,,
1630202,Payton Pritchard,,4.9,4.9,,
1630205,Lamar Stevens,81.0,1.4,1.4,,
1630208,Nick Richards,86.25,0.5,0.0,,
1630214,Xavier Tillman,86.0,0.9,0.9,,
1630215,Jared Butler,,1.7,1.7,,
1630217,Desmond Bane,,2.8,2.6,,
1630222,Mason Jones,79.0,0.7,0.7,,
1630224,Jalen Green,,3.5,3.3,,
1630227,Daishen Nix,,0.3,0.3,,
1630228,Jonathan Kuminga,,2.5,2.4,,
