group_id,group_name,team_id,season,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,fta_rate,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,created_at,updated_at,supercluster_id
-203468-1627742-1630230-1630529-1630530-,C. McCollum - B. Ingram - N. Marshall - H. Jones - T. Murphy III,1610612740,2022-23,2,1,1,0.5,9.3,53.1,93.8,0.567,,,0.333,12.5,25.0,0.5,18.8,28.1,46.9,34.4,9.4,6.3,3.1,0.0,28.1,18.8,131.3,3.1,137.6,131.3,121.2,124.2,16.5,7.0,0.647,3.67,22.4,0.429,0.556,0.5,0.094,0.633,0.626,82.9,83.69,69.74,32.0,0.538,12.5,34.4,12.5,68.8,6.3,18.8,0.0,56.3,0.267,0.516,0.355,0.121,0.444,0.6,0.4,0.619,0.095,0.286,0.095,0.095,0.095,0.524,0.538,0.462,1.0,0.0,0.647,0.353,2025-10-14 19:46:47,2025-10-14 19:46:47,1
-202681-202722-203501-1626174-1630702-,K. Irving - D. Bertans - T. Hardaway Jr. - C. Wood - J. Hardy,1610612742,2022-23,2,0,2,0.0,6.1,52.4,104.8,0.5,,,0.471,9.5,9.5,1.0,4.8,28.6,33.3,38.1,4.8,4.8,9.5,0.0,9.5,9.5,152.4,38.1,139.9,152.4,109.1,109.1,30.8,43.3,0.727,8.0,25.0,0.273,0.667,0.478,0.048,0.682,0.699,88.6,84.9,70.75,21.0,0.605,28.6,14.3,9.5,28.6,0.0,23.8,0.0,19.0,0.091,0.571,0.0,0.182,0.333,0.227,0.773,0.188,0.0,0.75,0.063,0.063,0.188,0.188,0.667,0.333,0.75,0.25,0.727,0.273,2025-10-14 19:46:47,2025-10-14 19:46:47,2
-203081-1626159-1628404-1629014-1629234-,D. Lillard - J. Winslow - J. Hart - A. Simons - D. Eubanks,1610612757,2022-23,4,3,1,0.75,4.9,44.1,94.1,0.469,,,0.25,8.8,17.6,0.5,17.6,23.5,41.2,38.2,11.8,8.8,11.8,0.0,23.5,17.6,105.9,-41.2,110.3,105.9,128.7,135.1,-18.4,-29.3,0.867,3.25,24.5,0.333,0.421,0.378,0.118,0.516,0.52,87.3,86.75,72.29,34.0,0.398,26.5,17.6,20.6,64.7,23.5,23.5,17.6,70.6,0.188,0.568,0.297,0.135,0.579,0.625,0.375,0.667,0.056,0.25,0.194,0.083,0.25,0.611,0.833,0.167,1.0,0.0,0.867,0.133,2025-10-14 19:46:47,2025-10-14 19:46:47,4
-203944-1629628-1629656-1630193-1630579-,J. Randle - R. Barrett - Q. Grimes - I. Quickley - J. Sims,1610612752,2022-23,4,3,1,0.75,5.0,54.3,91.4,0.594,,,0.455,11.4,11.4,1.0,11.4,42.9,54.3,28.6,11.4,2.9,0.0,5.7,20.0,22.9,134.3,20.0,139.2,134.3,110.5,108.1,28.7,26.2,0.526,2.5,20.4,0.308,0.818,0.629,0.114,0.672,0.696,84.6,87.06,72.55,35.0,0.626,14.3,17.1,11.4,74.3,8.6,0.0,5.7,34.3,0.125,0.543,0.143,0.054,0.182,0.656,0.344,0.596,0.043,0.319,0.085,0.085,0.106,0.553,0.357,0.643,1.0,0.0,0.526,0.474,2025-10-14 19:46:47,2025-10-14 19:46:47,5
-1628392-1628404-1629628-1629656-1630193-,I. Hartenstein - J. Hart - R. Barrett - Q. Grimes - I. Quickley,1610612752,2022-23,2,1,1,0.5,7.6,37.0,77.8,0.476,,,0.333,25.9,33.3,0.778,3.7,44.4,48.1,18.5,7.4,7.4,0.0,3.7,18.5,18.5,107.4,22.2,111.7,107.4,85.9,82.1,25.8,25.3,0.5,2.5,15.2,0.083,0.75,0.464,0.074,0.524,0.581,83.5,87.13,72.61,27.0,0.655,7.4,7.4,14.8,59.3,0.0,7.4,0.0,22.2,0.429,0.417,0.167,0.143,0.25,0.714,0.286,0.552,0.0,0.207,0.138,0.241,0.069,0.552,0.375,0.625,1.0,0.0,0.5,0.5,2025-10-14 19:46:47,2025-10-14 19:46:47,5
-201566-201569-202331-202695-1627826-,R. Westbrook - E. Gordon - P. George - K. Leonard - I. Zubac,1610612746,2022-23,2,2,0,1.0,7.8,46.4,100.0,0.464,,,0.556,25.0,28.6,0.875,21.4,35.7,57.1,21.4,7.1,14.3,7.1,10.7,10.7,21.4,135.7,46.4,138.1,135.7,89.3,89.3,48.8,46.4,0.462,3.0,15.0,0.4,0.579,0.5,0.071,0.554,0.603,85.6,86.34,71.95,28.0,0.788,28.6,14.3,21.4,42.9,14.3,21.4,0.0,35.7,0.286,0.417,0.0,0.179,0.421,0.679,0.321,0.421,0.105,0.395,0.158,0.184,0.211,0.316,0.375,0.625,0.6,0.4,0.462,0.538,2025-10-14 19:46:47,2025-10-14 19:46:47,5
-1628380-1628966-1628984-1630200-1631110-,Z. Collins - K. Bates-Diop - D. Graham - T. Jones - J. Sochan,1610612759,2022-23,2,1,1,0.5,7.4,40.7,100.0,0.407,,,0.5,7.4,7.4,1.0,11.1,25.9,37.0,33.3,7.4,3.7,7.4,0.0,25.9,29.6,111.1,-33.3,111.6,111.1,138.3,134.5,-26.7,-23.4,0.818,4.5,23.1,0.188,0.538,0.345,0.074,0.519,0.538,89.2,90.71,75.59,27.0,0.412,7.4,7.4,14.8,37.0,18.5,37.0,7.4,96.3,0.074,0.586,0.172,0.103,0.462,0.556,0.444,0.333,0.0,0.6,0.133,0.067,0.067,0.333,0.6,0.4,1.0,0.0,0.818,0.182,2025-10-14 19:46:47,2025-10-14 19:46:47,4
-201145-1627750-1628971-1630192-1630538-,J. Green - J. Murray - B. Brown - Z. Nnaji - B. Hyland,1610612743,2022-23,2,1,1,0.5,9.6,40.0,82.9,0.483,,,0.467,11.4,11.4,1.0,5.7,42.9,48.6,25.7,14.3,11.4,8.6,2.9,20.0,11.4,111.4,-5.7,115.5,111.4,103.7,110.8,11.8,0.6,0.643,1.8,19.1,0.2,0.536,0.419,0.143,0.603,0.634,91.7,90.11,75.09,35.0,0.545,14.3,11.4,5.7,34.3,28.6,37.1,11.4,62.9,0.138,0.429,0.19,0.108,0.464,0.483,0.517,0.359,0.051,0.538,0.051,0.103,0.128,0.308,0.429,0.571,0.857,0.143,0.643,0.357,2025-10-14 19:46:47,2025-10-14 19:46:47,4
-2544-201566-203471-1628972-1629117-,L. James - R. Westbrook - D. Schroder - T. Brown Jr. - W. Gabriel,1610612747,2022-23,4,2,2,0.5,6.0,52.3,95.5,0.548,,,0.429,20.5,22.7,0.9,11.4,36.4,47.7,34.1,4.5,0.0,2.3,11.4,22.7,29.5,138.6,27.3,140.6,138.6,110.4,108.9,30.2,29.7,0.652,7.5,23.4,0.3,0.895,0.59,0.045,0.619,0.657,87.5,88.66,73.88,44.0,0.649,15.9,13.6,18.2,63.6,9.1,9.1,4.5,59.1,0.238,0.579,0.263,0.067,0.105,0.667,0.333,0.557,0.098,0.295,0.131,0.148,0.115,0.459,0.529,0.471,1.0,0.0,0.652,0.348,2025-10-14 19:46:47,2025-10-14 19:46:47,1
-203952-1626172-1628978-1629673-1630237-,A. Wiggins - K. Looney - D. DiVincenzo - J. Poole - A. Lamb,1610612744,2022-23,5,3,2,0.6,4.5,39.0,85.4,0.457,,,0.333,9.8,17.1,0.571,12.2,29.3,41.5,22.0,14.6,2.4,4.9,0.0,29.3,22.0,100.0,-34.1,104.9,100.0,121.1,131.0,-16.2,-31.0,0.563,1.5,16.4,0.238,0.571,0.405,0.146,0.529,0.538,90.4,88.86,74.05,41.0,0.344,12.2,7.3,7.3,43.9,19.5,34.1,19.5,68.3,0.2,0.573,0.244,0.119,0.429,0.571,0.429,0.537,0.098,0.366,0.073,0.098,0.122,0.439,0.455,0.545,0.8,0.2,0.563,0.438,2025-10-14 19:46:47,2025-10-14 19:46:47,4
-202710-203506-1629622-1631115-1631288-,J. Butler - V. Oladipo - M. Strus - O. Robinson - J. Cain,1610612748,2022-23,3,3,0,1.0,4.6,28.0,84.0,0.333,,,0.0,28.0,28.0,1.0,12.0,36.0,48.0,8.0,12.0,4.0,4.0,4.0,4.0,16.0,84.0,-16.0,87.2,84.0,113.6,104.2,-26.4,-20.2,0.286,0.67,6.3,0.357,0.833,0.577,0.12,0.333,0.436,81.0,86.15,71.79,25.0,0.374,8.0,16.0,0.0,48.0,8.0,8.0,24.0,48.0,0.333,0.543,0.0,0.042,0.167,0.81,0.19,0.667,0.095,0.0,0.0,0.333,0.095,0.571,0.286,0.714,0.0,0.0,0.286,0.714,2025-10-14 19:46:47,2025-10-14 19:46:47,0
-203924-1629629-1629642-1630570-1631101-,J. Grant - C. Reddish - N. Little - T. Watford - S. Sharpe,1610612757,2022-23,4,2,2,0.5,6.5,35.4,79.2,0.447,,,0.4,22.9,29.2,0.786,4.2,25.0,29.2,25.0,10.4,8.3,6.3,6.3,20.8,22.9,106.3,-16.7,108.1,106.3,117.8,115.7,-9.7,-9.4,0.706,2.4,19.0,0.174,0.545,0.356,0.104,0.526,0.577,89.1,90.7,75.58,48.0,0.419,10.4,2.1,14.6,45.8,12.5,12.5,12.5,70.8,0.368,0.585,0.149,0.137,0.455,0.605,0.395,0.431,0.0,0.353,0.137,0.216,0.098,0.431,0.727,0.273,0.667,0.333,0.706,0.294,2025-10-14 19:46:47,2025-10-14 19:46:47,4
-200768-203506-1628389-1629312-1629639-,K. Lowry - V. Oladipo - B. Adebayo - H. Highsmith - T. Herro,1610612748,2022-23,3,1,2,0.333,4.9,44.4,114.8,0.387,,,0.333,22.2,22.2,1.0,25.9,22.2,48.1,14.8,3.7,0.0,0.0,3.7,25.9,25.9,122.2,-7.4,119.4,122.2,129.2,134.6,-9.9,-12.4,0.333,4.0,9.8,0.526,0.667,0.581,0.037,0.435,0.49,89.0,86.23,71.86,27.0,0.402,7.4,14.8,18.5,59.3,0.0,18.5,7.4,66.7,0.194,0.625,0.292,0.115,0.333,0.71,0.29,0.545,0.061,0.273,0.152,0.182,0.061,0.485,0.333,0.667,0.333,0.667,0.333,0.667,2025-10-14 19:46:47,2025-10-14 19:46:47,1
-202694-202695-202704-1627826-1629611-,M. Morris Sr. - K. Leonard - R. Jackson - I. Zubac - T. Mann,1610612746,2022-23,2,2,0,1.0,8.7,56.3,87.5,0.643,,,0.333,15.6,15.6,1.0,6.3,28.1,34.4,25.0,15.6,3.1,12.5,0.0,21.9,15.6,134.4,12.5,129.5,134.4,113.0,118.2,16.5,16.2,0.444,1.6,18.6,0.3,0.476,0.419,0.156,0.679,0.712,93.1,89.4,74.5,32.0,0.587,21.9,12.5,6.3,62.5,18.8,25.0,0.0,68.8,0.179,0.443,0.229,0.152,0.524,0.786,0.214,0.744,0.279,0.14,0.047,0.116,0.163,0.465,0.375,0.625,1.0,0.0,0.444,0.556,2025-10-14 19:46:47,2025-10-14 19:46:47,3
-203076-203471-1626156-1629117-1630559-,A. Davis - D. Schroder - D. Russell - W. Gabriel - A. Reaves,1610612747,2022-23,2,1,1,0.5,7.3,44.4,88.9,0.5,,,0.2,44.4,63.0,0.706,18.5,33.3,51.9,25.9,11.1,7.4,7.4,7.4,22.2,40.7,137.0,48.1,125.5,137.0,89.0,92.3,36.5,44.7,0.583,2.33,17.1,0.467,0.909,0.654,0.111,0.521,0.588,92.3,86.63,72.19,27.0,0.765,18.5,33.3,0.0,59.3,18.5,0.0,0.0,37.0,0.708,0.444,0.5,0.192,0.091,0.792,0.208,0.595,0.162,0.081,0.0,0.324,0.135,0.432,0.545,0.455,1.0,0.0,0.583,0.417,2025-10-14 19:46:47,2025-10-14 19:46:47,5
-1628973-1629011-1629656-1630167-1630193-,J. Brunson - M. Robinson - Q. Grimes - O. Toppin - I. Quickley,1610612752,2022-23,4,2,2,0.5,4.8,48.6,102.9,0.472,,,0.333,17.1,17.1,1.0,20.0,28.6,48.6,37.1,8.6,14.3,2.9,2.9,22.9,20.0,125.7,17.1,127.0,125.7,103.1,102.7,23.9,23.0,0.765,4.33,23.6,0.368,0.846,0.563,0.086,0.528,0.569,90.0,90.69,75.58,35.0,0.617,22.9,17.1,17.1,68.6,8.6,5.7,17.1,40.0,0.167,0.577,0.423,0.216,0.154,0.667,0.333,0.591,0.045,0.273,0.136,0.136,0.182,0.545,0.692,0.308,1.0,0.0,0.765,0.235,2025-10-14 19:46:47,2025-10-14 19:46:47,1
-203506-1628389-1629130-1629216-1629622-,V. Oladipo - B. Adebayo - D. Robinson - G. Vincent - M. Strus,1610612748,2022-23,2,2,0,1.0,8.4,48.4,100.0,0.484,,,0.333,25.8,25.8,1.0,16.1,35.5,51.6,29.0,9.7,6.5,3.2,3.2,25.8,22.6,138.7,3.2,132.2,138.7,136.2,123.5,-4.0,15.2,0.6,3.0,18.8,0.471,0.667,0.571,0.097,0.565,0.623,90.2,92.51,77.09,31.0,0.529,12.9,41.9,12.9,51.6,19.4,6.5,6.5,19.4,0.258,0.571,0.393,0.059,0.333,0.516,0.484,0.465,0.093,0.349,0.093,0.186,0.093,0.372,0.5,0.5,0.8,0.2,0.6,0.4,2025-10-14 19:46:47,2025-10-14 19:46:47,5
-202709-202711-1630180-1630191-1631093-,C. Joseph - B. Bogdanovic - S. Bey - I. Stewart - J. Ivey,1610612765,2022-23,2,1,1,0.5,6.0,54.5,95.5,0.571,,,0.5,4.5,13.6,0.333,18.2,36.4,54.5,36.4,18.2,4.5,0.0,9.1,22.7,22.7,136.4,31.8,134.4,136.4,99.1,100.0,35.3,36.4,0.667,2.0,23.5,0.4,0.75,0.591,0.182,0.69,0.672,91.7,90.63,75.52,22.0,0.637,22.7,0.0,0.0,63.6,18.2,22.7,13.6,54.5,0.143,0.45,0.25,0.087,0.25,0.524,0.476,0.467,0.0,0.5,0.0,0.033,0.167,0.467,0.714,0.286,0.6,0.4,0.667,0.333,2025-10-14 19:46:47,2025-10-14 19:46:47,5
-201145-1627750-1628427-1630192-1631128-,J. Green - J. Murray - V. Cancar - Z. Nnaji - C. Braun,1610612743,2022-23,1,1,0,1.0,11.9,40.9,86.4,0.474,,,0.25,9.1,9.1,1.0,9.1,40.9,50.0,18.2,9.1,9.1,0.0,0.0,31.8,9.1,100.0,31.8,110.7,100.0,72.7,71.4,38.0,28.6,0.444,2.0,14.3,0.2,0.769,0.522,0.091,0.526,0.553,81.6,86.6,72.17,22.0,0.776,18.2,9.1,0.0,45.5,0.0,9.1,0.0,45.5,0.105,0.294,0.353,0.19,0.231,0.579,0.421,0.636,0.182,0.273,0.0,0.091,0.182,0.455,0.429,0.571,0.5,0.5,0.444,0.556,2025-10-14 19:46:47,2025-10-14 19:46:47,5
-203468-1626196-1627742-1629637-1630529-,C. McCollum - J. Richardson - B. Ingram - J. Hayes - H. Jones,1610612740,2022-23,2,1,1,0.5,7.3,37.0,77.8,0.476,,,0.333,3.7,7.4,0.5,7.4,22.2,29.6,18.5,18.5,14.8,3.7,3.7,40.7,11.1,81.5,-18.5,88.4,81.5,93.2,96.4,-4.8,-14.9,0.5,1.0,14.7,0.154,0.538,0.346,0.185,0.5,0.503,88.5,90.4,75.33,27.0,0.323,25.9,14.8,3.7,37.0,22.2,7.4,7.4,29.6,0.095,0.452,0.429,0.25,0.462,0.857,0.143,0.818,0.364,0.136,0.045,0.045,0.318,0.455,0.444,0.556,1.0,0.0,0.5,0.5,2025-10-14 19:46:47,2025-10-14 19:46:47,3
-201142-203925-1626220-1629651-1630560-,K. Durant - J. Harris - R. O'Neale - N. Claxton - C. Thomas,1610612751,2022-23,4,3,1,0.75,4.6,52.9,100.0,0.529,,,0.5,17.6,23.5,0.75,17.6,11.8,29.4,44.1,14.7,11.8,5.9,0.0,44.1,29.4,141.2,2.9,131.4,141.2,139.1,146.9,-7.6,-5.7,0.833,3.0,26.8,0.438,0.5,0.462,0.147,0.618,0.64,91.9,86.3,71.92,34.0,0.493,26.5,26.5,8.8,52.9,23.5,35.3,0.0,47.1,0.235,0.705,0.909,0.156,0.5,0.647,0.353,0.5,0.125,0.375,0.063,0.125,0.188,0.375,0.75,0.25,1.0,0.0,0.833,0.167,2025-10-14 19:46:47,2025-10-14 19:46:47,1
